iter	Passed	Remaining
797	6164	1560
798	6169	1551
799	6173	1543
800	6178	1534
801	6184	1526
802	6188	1518
803	6193	1509
804	6197	1501
805	6200	1492
806	6209	1485
807	6214	1476
808	6218	1468
809	6223	1459
810	6229	1451
811	6233	1443
812	6238	1434
813	6242	1426
814	6250	1418
815	6257	1410
816	6261	1402
817	6266	1394
818	6271	1385
819	6276	1377
820	6280	1369
821	6284	1360
822	6289	1352
823	6297	1345
824	6301	1336
825	6306	1328
826	6315	1321
827	6320	1312
828	6328	1305
829	6333	1297
830	6337	1288
831	6345	1281
832	6350	1273
833	6357	1265
834	6366	1258
835	6371	1249
836	6375	1241
837	6383	1234
838	6387	1225
839	6392	1217
840	6400	1210
841	6406	1202
842	6410	1193
843	6419	1186
844	6424	1178
845	6429	1170
846	6438	1163
847	6443	1154
848	6447	1146
849	6456	1139
850	6461	1131
851	6465	1123
852	6474	1115
853	6479	1107
854	6486	1100
855	6493	1092
856	6498	1084
857	6502	1076
858	6512	1068
859	6516	1060
860	6521	1052
861	6532	1045
862	6536	1037
863	6541	1029
864	6547	1021
865	6552	1013
866	6557	1005
867	6564	998
868	6568	990
869	6573	982
870	6584	975
871	6589	967
872	6593	959
873	6601	951
874	6606	943
875	6610	935
876	6616	927
877	6623	920
878	6628	912
879	6633	904
880	6640	897
881	6645	889
882	6651	881
883	6658	873
884	6663	865
885	6670	858
886	6676	850
887	6680	842
888	6689	835
889	6695	827
890	6701	819
891	6711	812
892	6715	804
893	6719	796
894	6729	789
895	6733	781
896	6738	773
897	6746	766
898	6753	758
899	6758	750
900	6768	743
901	6772	735
902	6777	727
903	6786	720
904	6790	712
905	6798	705
906	6804	697
907	6808	689
908	6814	682
909	6821	674
910	6826	666
911	6831	659
912	6837	651
913	6844	644
914	6848	636
915	6857	628
916	6862	621
917	6866	613
918	6875	606
919	6881	598
920	6886	590
921	6895	583
922	6900	575
923	6905	567
924	6913	560
925	6918	552
926	6922	545
927	6932	537
928	6937	530
929	6944	522
930	6950	515
931	6955	507
932	6965	500
933	6969	492
934	6974	484
935	6983	477
936	6987	469
937	6992	462
938	7001	454
939	7005	447
940	7010	439
941	7014	431
942	7020	424
943	7026	416
944	7033	409
945	7037	401
946	7042	394
947	7046	386
948	7051	378
949	7062	371
950	7067	364
951	7071	356
952	7077	349
953	7082	341
954	7090	334
955	7095	326
956	7098	318
957	7105	311
958	7110	303
959	7114	296
960	7124	289
961	7128	281
962	7133	274
963	7137	266
964	7140	258
965	7145	251
966	7149	243
967	7153	236
968	7163	229
969	7168	221
970	7173	214
971	7177	206
972	7190	199
973	7201	192
974	7207	184
975	7213	177
976	7218	169
977	7222	162
978	7233	155
979	7238	147
980	7244	140
981	7251	132
982	7256	125
983	7261	118
984	7266	110
985	7276	103
986	7281	95
987	7286	88
988	7293	81
989	7297	73
990	7302	66
991	7310	58
992	7315	51
993	7320	44
994	7324	36
995	7328	29
996	7339	22
997	7344	14
998	7348	7
999	7354	0
